# 문제별 난이도 스냅샷 — 원본 자료에서 «유도할 수 없는» 값의 기록
#
# 형식: <AI Hub 문제 id>,<LOW|MEDIUM|HIGH>
#
# 왜 있나: 2026-09-07 에 원본 JSON 의 모든 필드를 DB 난이도와 대조했는데
#          어느 것도 설명하지 못했다 (최고 question_unit 86.4%, 단원 안의
#          분화는 어떤 필드로도 구분 불가). 사람이 손으로 정한 값이다.
#          유도는 못 해도 기록은 할 수 있으므로 여기 남긴다.
#
# 🔴 이 파일은 «규칙» 이 아니라 «기록» 이다. 새 학년 자료에는 해당 id 가 없어
#    DataLoader 의 기존 매핑으로 떨어지고, 그 건수는 적재 로그에 남는다.
#
# 근거: docs/research/difficulty-origin-2026-09-07.md
00041_60078,MEDIUM
00041_60082,MEDIUM
00041_60084,MEDIUM
00041_60087,MEDIUM
00041_60097,MEDIUM
00041_60098,MEDIUM
00041_60130,MEDIUM
00041_60145,MEDIUM
00041_60149,MEDIUM
00041_60153,MEDIUM
00041_60155,MEDIUM
00041_60161,LOW
00041_60173,LOW
00041_60180,LOW
00041_60192,LOW
00041_60198,LOW
00041_60202,LOW
00041_60207,LOW
00041_60218,LOW
00041_60227,LOW
00041_60228,LOW
00041_60256,LOW
00041_60269,LOW
00041_60278,LOW
00041_60290,LOW
00041_60296,LOW
00041_60316,LOW
00041_60319,LOW
00041_60329,LOW
00041_60357,LOW
00041_60360,LOW
00041_60395,LOW
00041_60414,LOW
00041_60417,LOW
00041_60424,LOW
00041_60455,MEDIUM
00041_60458,MEDIUM
00041_60505,MEDIUM
00041_60510,MEDIUM
00041_60511,MEDIUM
00041_60529,MEDIUM
00041_60532,MEDIUM
00041_60547,LOW
00041_60565,LOW
00041_60620,LOW
00041_60625,LOW
00041_60635,LOW
00041_60639,LOW
00041_60646,LOW
00041_60709,LOW
00041_60757,LOW
00041_60772,LOW
00041_60793,LOW
00041_60796,LOW
00041_60801,LOW
00041_60803,LOW
00041_60819,LOW
00041_60893,MEDIUM
00041_60894,LOW
00041_60943,LOW
00041_60952,LOW
00041_60956,LOW
00041_60967,LOW
00041_61019,LOW
00041_61033,LOW
00041_61073,LOW
00041_61080,LOW
00041_61090,LOW
00041_61114,LOW
00041_61115,LOW
00041_61120,LOW
00041_61124,LOW
00041_61150,LOW
00041_61187,LOW
00041_61188,LOW
00041_61209,LOW
00041_61216,LOW
00041_61220,LOW
00041_61223,LOW
00041_61229,LOW
00041_61230,LOW
00041_61235,LOW
00041_61266,LOW
00041_61291,LOW
00041_61341,LOW
00041_61343,LOW
00041_61350,LOW
00041_61363,LOW
00041_61401,LOW
00041_61407,LOW
00041_61417,LOW
00041_61422,LOW
00041_61434,LOW
00041_61438,LOW
00041_61445,LOW
00041_61479,LOW
00041_61486,LOW
00041_61496,LOW
00041_61500,LOW
00041_61519,LOW
00041_61535,LOW
00041_61562,LOW
00041_61575,LOW
00041_61578,LOW
00041_61624,LOW
00041_61757,LOW
00041_61761,LOW
00041_61768,LOW
00041_61778,LOW
00041_61805,MEDIUM
00041_61815,MEDIUM
00041_61816,MEDIUM
00041_61820,LOW
00041_61861,LOW
00041_61879,LOW
00041_61896,LOW
00041_61899,LOW
00041_61900,LOW
00041_61909,LOW
00041_61913,LOW
00041_61927,LOW
00041_61934,LOW
00041_61947,LOW
00041_61959,LOW
00041_61961,LOW
00041_61968,LOW
00041_61974,LOW
00041_61981,LOW
00041_61995,LOW
00041_61999,LOW
00041_62069,MEDIUM
00041_62119,MEDIUM
00041_62121,MEDIUM
00041_62137,LOW
00041_62146,LOW
00041_62160,LOW
00041_62171,LOW
00041_62179,LOW
00041_62187,LOW
00041_62269,LOW
00041_62275,LOW
00041_62277,LOW
00041_62296,LOW
00041_62297,LOW
00041_62303,LOW
00041_62324,LOW
00041_62344,LOW
00041_62346,LOW
00041_62357,LOW
00041_62371,LOW
00041_62386,LOW
00041_62390,LOW
00041_62416,LOW
00041_62420,LOW
00041_62464,LOW
00041_62497,MEDIUM
00041_62508,MEDIUM
00041_62528,MEDIUM
00041_62535,MEDIUM
00041_62536,MEDIUM
00041_62537,MEDIUM
00041_62574,MEDIUM
00041_62615,MEDIUM
00041_62634,MEDIUM
00041_62661,MEDIUM
00041_62662,MEDIUM
00041_62663,MEDIUM
00041_62679,MEDIUM
00041_62693,MEDIUM
00041_62722,MEDIUM
00041_62723,MEDIUM
00041_62725,MEDIUM
00041_62734,LOW
00041_62738,LOW
00041_62758,LOW
00041_62762,LOW
00041_62768,LOW
00041_62771,LOW
00041_62790,LOW
00041_62805,LOW
00041_62811,LOW
00041_62815,LOW
00041_62818,LOW
00041_62830,LOW
00041_62833,LOW
00041_62851,LOW
00041_62861,LOW
00041_62864,LOW
00041_62880,LOW
00041_62913,LOW
00041_62929,LOW
00041_62932,LOW
00041_62938,LOW
00041_62952,LOW
00041_62963,LOW
00041_62964,LOW
00041_62973,LOW
00041_62975,LOW
00041_63012,LOW
00041_63014,LOW
00041_63023,LOW
00041_63025,LOW
00041_63041,LOW
00041_63045,LOW
00041_63071,LOW
00041_63074,LOW
00041_63078,LOW
00041_63083,LOW
00041_63084,LOW
00041_63124,LOW
00041_63129,LOW
00041_63134,LOW
00041_63147,LOW
00041_63162,LOW
00041_63178,LOW
00041_63188,LOW
00041_63191,LOW
00041_63195,LOW
00041_63202,LOW
00041_63206,LOW
00041_63213,LOW
00041_63227,LOW
00041_63231,LOW
00041_63241,LOW
00041_63243,LOW
00041_63254,LOW
00041_63263,LOW
00041_63264,LOW
00041_63265,LOW
00041_63269,LOW
00041_63276,LOW
00041_63281,LOW
00041_63362,LOW
00041_63367,LOW
00041_63383,LOW
00041_63422,LOW
00041_63430,LOW
00041_63434,LOW
00041_63439,LOW
00041_63441,LOW
00041_63470,LOW
00041_63502,LOW
00041_63505,LOW
00041_63509,LOW
00041_63530,LOW
00041_63717,MEDIUM
00041_63729,MEDIUM
00041_63746,MEDIUM
00041_63747,MEDIUM
00041_63750,MEDIUM
00041_63752,MEDIUM
00041_63778,MEDIUM
00041_63801,MEDIUM
00041_63805,MEDIUM
00041_63824,MEDIUM
00041_63828,MEDIUM
00041_63869,MEDIUM
00041_63870,MEDIUM
00041_63891,LOW
00041_63907,LOW
00041_63934,LOW
00041_64002,LOW
00041_64018,LOW
00041_64028,LOW
00041_64055,LOW
00041_64057,LOW
00041_64063,LOW
00041_64072,LOW
00041_64108,LOW
00041_64112,LOW
00041_64123,LOW
00041_64124,LOW
00041_64152,LOW
00041_64156,LOW
00041_64157,LOW
00041_64201,LOW
00041_64215,LOW
00041_64225,LOW
00041_64233,LOW
00041_64246,LOW
00041_64248,LOW
00041_64254,LOW
00041_64257,LOW
00041_64264,LOW
00041_64273,LOW
00041_64282,LOW
00041_64284,LOW
00041_64298,LOW
00041_64299,LOW
00041_64303,MEDIUM
00041_64325,MEDIUM
00041_64394,MEDIUM
00041_64422,MEDIUM
00041_64427,MEDIUM
00041_64448,MEDIUM
00041_64464,MEDIUM
00041_78832,HIGH
00041_81226,HIGH
00041_81231,HIGH
00041_81241,HIGH
00041_81273,MEDIUM
00041_85798,HIGH
00041_85799,HIGH
00041_85818,HIGH
00041_85830,HIGH
00041_85831,HIGH
00041_85832,HIGH
00041_85858,HIGH
00041_85860,HIGH
00041_85865,HIGH
00041_85894,MEDIUM
00041_85909,MEDIUM
00041_85929,MEDIUM
00041_85941,MEDIUM
00041_85952,MEDIUM
00041_85979,MEDIUM
00041_85991,MEDIUM
00041_86018,MEDIUM
00041_86025,MEDIUM
00041_86105,MEDIUM
00041_86128,MEDIUM
00041_86132,MEDIUM
00041_86140,MEDIUM
00041_86141,MEDIUM
00041_86144,MEDIUM
00041_86179,MEDIUM
00041_86199,MEDIUM
00041_86224,MEDIUM
00041_86239,MEDIUM
00041_86278,MEDIUM
00041_86286,HIGH
00041_86292,HIGH
00041_86308,HIGH
00041_86321,HIGH
00041_86346,HIGH
00041_86378,HIGH
00041_86383,HIGH
00041_86386,HIGH
00041_86387,HIGH
00041_86398,HIGH
00041_86409,MEDIUM
00041_86419,MEDIUM
00041_86430,MEDIUM
00041_86431,HIGH
00041_86462,MEDIUM
00041_86471,HIGH
00041_86488,MEDIUM
00041_86531,MEDIUM
00041_86533,MEDIUM
00041_86538,MEDIUM
00041_86549,MEDIUM
00041_86556,MEDIUM
00041_86561,MEDIUM
00041_86563,MEDIUM
00041_86625,MEDIUM
00041_86629,MEDIUM
00041_86632,MEDIUM
00041_86635,MEDIUM
00041_86643,MEDIUM
00041_86646,MEDIUM
00041_86693,MEDIUM
00041_86703,MEDIUM
00041_86720,HIGH
00041_86730,HIGH
00041_86740,HIGH
00041_86745,HIGH
00041_86775,HIGH
00041_86797,HIGH
00041_86808,HIGH
00041_86841,HIGH
00041_86851,MEDIUM
00041_86992,HIGH
00041_87009,HIGH
00041_87036,HIGH
00041_87041,HIGH
00041_87049,HIGH
00041_87088,HIGH
00041_87127,HIGH
00041_87133,HIGH
00041_87137,HIGH
00041_87169,HIGH
00041_87190,HIGH
00041_87245,HIGH
00041_87247,HIGH
00041_87266,HIGH
00041_87291,HIGH
00041_87293,HIGH
00041_87297,HIGH
00041_87329,HIGH
00041_87333,HIGH
00041_87347,HIGH
00041_87356,HIGH
00041_87357,HIGH
00041_87360,HIGH
00041_87379,HIGH
00041_87380,HIGH
00041_87383,HIGH
00041_87388,HIGH
00041_87399,HIGH
00041_87412,HIGH
00041_87432,HIGH
00041_87437,HIGH
00041_87444,HIGH
00041_87456,HIGH
00041_87501,HIGH
00041_87512,MEDIUM
00041_87519,MEDIUM
00041_87617,HIGH
00041_87642,HIGH
00041_87714,HIGH
00041_87721,HIGH
00041_87851,HIGH
00041_87872,HIGH
00041_87877,HIGH
00041_87891,HIGH
00041_89510,MEDIUM
00041_89516,MEDIUM
00041_89542,MEDIUM
00041_89548,MEDIUM
00041_89553,MEDIUM
00041_89560,MEDIUM
00041_89565,MEDIUM
00041_89602,MEDIUM
00041_89635,MEDIUM
00041_89644,MEDIUM
00041_89685,MEDIUM
00041_89686,MEDIUM
00041_89699,MEDIUM
00041_89737,MEDIUM
00041_89744,MEDIUM
00041_89844,MEDIUM
00041_89943,MEDIUM
00041_90031,MEDIUM
00041_93767,MEDIUM
00041_93778,MEDIUM
00041_93779,MEDIUM
00041_93784,MEDIUM
00041_93790,MEDIUM
00041_93810,MEDIUM
00041_93816,MEDIUM
00041_93822,MEDIUM
00041_93840,MEDIUM
00041_93903,MEDIUM
00041_93907,MEDIUM
00041_93923,MEDIUM
00041_93930,MEDIUM
00041_93961,MEDIUM
00041_93965,MEDIUM
00041_93966,MEDIUM
00041_94015,MEDIUM
00041_94016,MEDIUM
00041_94421,HIGH
00041_94445,HIGH
00041_94487,HIGH
00041_94509,HIGH
00041_94627,HIGH
00041_94629,HIGH
00041_94701,HIGH
00041_94777,HIGH
00041_94783,HIGH
00041_94821,HIGH
00041_94872,HIGH
00041_94877,HIGH
00041_94925,HIGH
00041_94952,HIGH
00041_94958,HIGH
00041_94971,HIGH
00041_94972,HIGH
00041_94977,HIGH
00041_95004,HIGH
00041_95018,HIGH
00041_95030,HIGH
00041_95032,HIGH
00041_95046,HIGH
00041_95073,HIGH
00041_95092,HIGH
00041_95111,HIGH
00041_95308,HIGH
00041_95320,HIGH
00041_95345,HIGH
00041_95354,HIGH
00041_95378,HIGH
00041_95387,HIGH
00041_95471,HIGH
00041_95491,HIGH
00041_95495,HIGH
00041_95506,HIGH
00041_95507,HIGH
00041_95519,HIGH
00041_95521,HIGH
00041_95524,HIGH
00041_95544,HIGH
00041_95546,HIGH
00041_95962,MEDIUM
00041_95979,MEDIUM
00041_95989,MEDIUM
00041_96046,MEDIUM
00041_96062,MEDIUM
00041_96071,MEDIUM
00041_96072,MEDIUM
00041_96073,MEDIUM
00041_96078,MEDIUM
00041_96082,MEDIUM
00041_96085,MEDIUM
00041_96100,MEDIUM
00041_96105,MEDIUM
00041_96109,MEDIUM
00041_96122,MEDIUM
00041_96136,MEDIUM
00041_96140,MEDIUM
00041_96149,MEDIUM
00041_96166,MEDIUM
00041_96171,MEDIUM
00041_96186,MEDIUM
00041_96187,MEDIUM
00041_96199,MEDIUM
00041_96202,MEDIUM
00041_96207,MEDIUM
00041_96209,MEDIUM
00041_96213,MEDIUM
00041_96222,MEDIUM
00041_96223,MEDIUM
00041_96252,MEDIUM
00041_96354,MEDIUM
00041_96405,MEDIUM
00041_96407,MEDIUM
00041_96442,MEDIUM
00041_96443,MEDIUM
00041_96447,MEDIUM
00041_96453,MEDIUM
00041_96455,MEDIUM
00041_96466,MEDIUM
00041_96480,MEDIUM
00041_96485,MEDIUM
00041_96500,MEDIUM
00041_96507,MEDIUM
00041_96529,MEDIUM
00041_96531,MEDIUM
00041_96532,MEDIUM
00041_96556,MEDIUM
00041_96558,MEDIUM
00041_96559,MEDIUM
00041_96581,MEDIUM
00041_96610,MEDIUM
00041_96630,MEDIUM
00041_96642,MEDIUM
00041_96655,MEDIUM
00041_96677,MEDIUM
00041_96686,MEDIUM
00041_96695,MEDIUM
00041_96703,HIGH
00041_96709,MEDIUM
00041_96713,MEDIUM
00041_96742,MEDIUM
00041_96755,HIGH
00041_96764,MEDIUM
00041_96770,MEDIUM
00041_96788,MEDIUM
00041_96793,MEDIUM
00041_96797,MEDIUM
00041_96806,MEDIUM
00041_96818,MEDIUM
00041_96825,MEDIUM
00041_96831,MEDIUM
00041_96850,MEDIUM
00041_96869,MEDIUM
00041_96916,MEDIUM
00041_96925,MEDIUM
00041_96940,MEDIUM
00041_96970,MEDIUM
00041_96980,MEDIUM
00041_96981,LOW
00041_97001,LOW
00041_97078,MEDIUM
00041_97095,LOW
00041_97128,MEDIUM
00041_97137,MEDIUM
00041_97139,LOW
00041_97144,LOW
00041_97164,LOW
00041_97201,LOW
00041_97237,MEDIUM
00041_97247,MEDIUM
00041_97259,MEDIUM
00041_97308,MEDIUM
00041_97315,MEDIUM
00041_97335,LOW
00041_97359,LOW
00041_97362,LOW
00041_97372,LOW
00041_97373,LOW
00041_97376,MEDIUM
00041_97396,MEDIUM
00041_97423,MEDIUM
00041_97433,MEDIUM
00041_97442,MEDIUM
00041_97484,MEDIUM
00041_97488,MEDIUM
00041_97505,MEDIUM
00041_97513,MEDIUM
00041_97519,MEDIUM
00041_97541,MEDIUM
00041_97547,HIGH
00041_97561,HIGH
00041_97571,HIGH
00041_97591,HIGH
00041_97611,HIGH
00041_97612,HIGH
00041_97624,HIGH
00041_97637,HIGH
00041_97654,HIGH
00041_97661,HIGH
00041_97664,HIGH
00041_97696,HIGH
00042_01252,LOW
00042_01255,LOW
00042_01265,LOW
00042_04095,MEDIUM
00042_04117,LOW
00042_04122,LOW
00042_04164,HIGH
00042_04178,HIGH
00042_04193,HIGH
00042_04201,MEDIUM
00042_04241,LOW
00042_04246,LOW
00042_04254,LOW
00042_04257,MEDIUM
00042_04275,MEDIUM
00042_04285,MEDIUM
00042_04307,HIGH
00042_04308,MEDIUM
00042_04316,MEDIUM
00042_04317,HIGH
00042_04319,HIGH
00042_04352,MEDIUM
00042_04365,MEDIUM
00042_04388,MEDIUM
00042_04405,MEDIUM
00042_04419,HIGH
00042_94379,LOW
00042_94398,LOW
00042_94428,LOW
00042_94501,LOW
00042_94503,MEDIUM
00042_94527,LOW
00042_95861,LOW
00042_95885,LOW
00042_95894,LOW
00042_97005,MEDIUM
00042_97010,MEDIUM
00042_97028,MEDIUM
00042_97037,MEDIUM
00042_97054,MEDIUM
00042_97071,MEDIUM
00042_97072,MEDIUM
00042_97075,MEDIUM
00042_97125,MEDIUM
00042_97128,MEDIUM
00042_97343,MEDIUM
00042_97374,MEDIUM
00042_97467,LOW
00042_97481,LOW
00043_00679,LOW
00043_00738,LOW
00043_00824,LOW
00043_00845,LOW
00043_00886,LOW
00043_00889,LOW
00043_00948,LOW
00043_00952,LOW
00043_00957,LOW
00043_00981,LOW
00043_00982,LOW
00043_01051,LOW
00043_01053,LOW
00043_01059,LOW
00043_01099,LOW
00043_01130,LOW
00043_01131,LOW
00043_01159,LOW
00043_01189,LOW
00043_01219,LOW
00043_01225,LOW
00043_01247,LOW
00043_01301,MEDIUM
00043_01305,MEDIUM
00043_01323,MEDIUM
00043_01326,MEDIUM
00043_01362,MEDIUM
00043_01375,MEDIUM
00043_01418,MEDIUM
00043_01435,MEDIUM
00043_01452,MEDIUM
00043_01460,MEDIUM
00043_01483,MEDIUM
00043_01496,MEDIUM
00043_01500,MEDIUM
00043_01507,MEDIUM
00043_01509,MEDIUM
00043_01541,MEDIUM
00043_01542,MEDIUM
00043_01546,MEDIUM
00043_01577,MEDIUM
00043_01679,MEDIUM
00043_01694,MEDIUM
00043_01706,MEDIUM
00043_01715,MEDIUM
00043_01725,MEDIUM
00043_01728,MEDIUM
00043_01766,MEDIUM
00043_01780,MEDIUM
00043_02728,LOW
00043_02740,LOW
00043_02768,LOW
00043_02844,LOW
00043_02858,LOW
00043_02945,LOW
00043_02946,LOW
00043_02970,LOW
00043_02997,LOW
00043_03019,LOW
00043_03031,LOW
00043_03109,MEDIUM
00043_03738,MEDIUM
00043_03805,LOW
00043_03821,LOW
00043_03831,LOW
00043_03849,MEDIUM
00043_03884,MEDIUM
00043_03931,LOW
00043_03936,LOW
00043_03938,LOW
00043_03942,LOW
00043_03947,LOW
00043_03964,LOW
00043_03983,LOW
00043_03994,LOW
00043_04037,LOW
00043_04043,LOW
00043_04102,LOW
00043_04104,LOW
00043_04120,LOW
00043_04148,LOW
00043_04154,LOW
00043_04159,LOW
00043_04163,LOW
00043_04214,LOW
00043_04244,LOW
00043_04246,LOW
00043_04258,LOW
00043_04272,LOW
00043_04283,LOW
00043_05762,MEDIUM
00043_05888,MEDIUM
00043_05909,MEDIUM
00043_05927,MEDIUM
00043_05928,MEDIUM
00043_05948,MEDIUM
00043_05960,MEDIUM
00043_05964,MEDIUM
00043_05973,MEDIUM
00043_05979,MEDIUM
00043_05980,MEDIUM
00043_05993,MEDIUM
00043_05998,MEDIUM
00043_06013,MEDIUM
00043_06014,MEDIUM
00043_06038,MEDIUM
00043_06040,MEDIUM
00043_06043,MEDIUM
00043_06049,MEDIUM
00043_06068,MEDIUM
00043_06101,MEDIUM
00043_06119,MEDIUM
00043_06143,MEDIUM
00043_06183,MEDIUM
00043_06194,MEDIUM
00043_06202,MEDIUM
00043_06207,MEDIUM
00043_06235,MEDIUM
00043_06256,MEDIUM
00043_09409,MEDIUM
00043_09415,MEDIUM
00043_09421,MEDIUM
00043_09439,MEDIUM
00043_09480,MEDIUM
00043_09495,MEDIUM
00043_09502,MEDIUM
00043_09507,MEDIUM
00043_09523,MEDIUM
00043_09525,MEDIUM
00043_09531,MEDIUM
00043_09552,LOW
00043_09600,LOW
00043_09624,LOW
00043_09634,LOW
00043_09747,LOW
00043_09775,LOW
00043_09790,LOW
00043_09802,LOW
00043_09872,LOW
00043_09892,LOW
00043_09894,LOW
00043_09910,LOW
00043_09920,LOW
00043_09923,LOW
00043_09927,MEDIUM
00043_09945,LOW
00043_09975,LOW
00043_10588,MEDIUM
00043_10590,LOW
00043_10623,MEDIUM
00043_10624,MEDIUM
00043_10643,MEDIUM
00043_10657,MEDIUM
00043_10681,LOW
00043_10683,LOW
00043_10687,MEDIUM
00043_10753,HIGH
00043_10757,HIGH
00043_10762,HIGH
00043_10787,HIGH
00043_10802,HIGH
00043_10833,HIGH
00043_10892,HIGH
00043_10898,HIGH
00043_10909,HIGH
00043_10916,MEDIUM
00043_10942,HIGH
00043_10951,HIGH
00043_10958,HIGH
00043_10966,HIGH
00043_10985,HIGH
00043_10987,HIGH
00043_11020,HIGH
00043_11040,HIGH
00043_11086,HIGH
00043_11089,HIGH
00043_11121,HIGH
00043_11136,HIGH
00043_11144,HIGH
00043_11147,HIGH
00043_11168,HIGH
00043_11204,HIGH
00043_11214,HIGH
00043_11241,MEDIUM
00043_11244,MEDIUM
00043_11245,MEDIUM
00043_11247,MEDIUM
00043_11277,MEDIUM
00043_11316,MEDIUM
00043_11353,MEDIUM
00043_11355,MEDIUM
00043_11376,MEDIUM
00043_11400,MEDIUM
00043_11414,MEDIUM
00043_11418,MEDIUM
00043_11430,MEDIUM
00043_11442,MEDIUM
00043_11462,MEDIUM
00043_11476,MEDIUM
00043_11478,MEDIUM
00043_11490,MEDIUM
00043_11500,MEDIUM
00043_11506,MEDIUM
00043_11520,MEDIUM
00043_11557,MEDIUM
00043_11582,MEDIUM
00043_11589,MEDIUM
00043_11595,MEDIUM
00043_11602,MEDIUM
00043_11611,MEDIUM
00043_11615,MEDIUM
00043_11637,MEDIUM
00043_11646,MEDIUM
00043_11652,MEDIUM
00043_11675,MEDIUM
00043_11676,MEDIUM
00043_11690,MEDIUM
00043_11701,MEDIUM
00043_11702,MEDIUM
00043_11729,MEDIUM
00043_11766,MEDIUM
00043_11769,MEDIUM
00043_11775,MEDIUM
00043_11812,MEDIUM
00043_11845,MEDIUM
00043_11847,MEDIUM
00043_11856,MEDIUM
00043_11861,MEDIUM
00043_11870,MEDIUM
00043_11892,MEDIUM
00043_11898,MEDIUM
00043_11907,MEDIUM
00043_11935,MEDIUM
00043_11949,MEDIUM
00043_11958,MEDIUM
00043_11996,MEDIUM
00043_12005,MEDIUM
00043_12017,MEDIUM
00043_12030,MEDIUM
00043_12313,HIGH
00043_12314,HIGH
00043_12318,HIGH
00043_12327,HIGH
00043_12329,HIGH
00043_12383,HIGH
00043_12399,HIGH
00043_12400,HIGH
00043_12411,HIGH
00043_12418,HIGH
00043_12423,HIGH
00043_12426,HIGH
00043_12428,HIGH
00043_12441,HIGH
00043_12462,HIGH
00043_12514,HIGH
00043_12526,HIGH
00043_12527,HIGH
00043_12539,HIGH
00043_12558,HIGH
00043_12560,HIGH
00043_12562,HIGH
00043_12566,HIGH
00043_12567,HIGH
00043_12593,HIGH
00043_12600,HIGH
00043_12609,HIGH
00043_12612,HIGH
00043_12617,HIGH
00043_12630,HIGH
00043_12632,HIGH
00043_12657,HIGH
00043_12670,HIGH
00043_12678,HIGH
00043_12695,HIGH
00043_12702,HIGH
00043_12721,HIGH
00043_12733,HIGH
00043_12738,HIGH
00043_12772,HIGH
00043_12808,HIGH
00043_12816,HIGH
00043_12820,HIGH
00043_12827,HIGH
00043_12855,HIGH
00043_12878,HIGH
00043_12883,HIGH
00043_12886,HIGH
00043_12899,HIGH
00043_12906,HIGH
00043_12911,HIGH
00043_12923,HIGH
00043_12945,HIGH
00043_12958,HIGH
00043_12961,HIGH
00043_12986,HIGH
00043_12991,HIGH
00043_13004,HIGH
00043_13008,HIGH
00043_13009,HIGH
00043_13016,HIGH
00043_13019,HIGH
00043_18920,LOW
00043_18926,MEDIUM
00043_18963,MEDIUM
00043_18984,MEDIUM
00043_19000,MEDIUM
00043_21718,HIGH
00043_21720,MEDIUM
00043_21740,HIGH
00043_25620,HIGH
00043_25626,HIGH
00043_25652,HIGH
00043_25653,HIGH
00043_25657,HIGH
00043_25661,HIGH
00043_25671,HIGH
00043_27244,LOW
